regime,sweep,sweep_value,d,N,average_in_degree,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high
restricted,sample_size,400.0,8,400,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.4870798115660304,0.12117160820547421,0.01211716082054742,0.4633301763577575,0.5108294467743033
restricted,sample_size,400.0,8,400,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.2785473878546634,0.1931379670003501,0.01931379670003501,0.24069234632259476,0.316402429386732
restricted,sample_size,400.0,8,400,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.022928876678876678,0.0695977858436434,0.00695977858436434,0.009287710653522572,0.03657004270423078
restricted,sample_size,400.0,8,400,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.005714285714285714,0.0281351979381332,0.00281351979381332,0.00019978691841160672,0.011228784510159823
restricted,sample_size,800.0,8,800,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9123483479906822,0.0838751458983304,0.008387514589833039,0.8959088193946094,0.928787876586755
restricted,sample_size,800.0,8,800,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.8578402482592413,0.13264292535394176,0.013264292535394176,0.8318422348898687,0.8838382616286139
restricted,sample_size,800.0,8,800,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9209331728869486,0.07065621634465319,0.007065621634465319,0.9070845544833966,0.9347817912905007
restricted,sample_size,800.0,8,800,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.5349469944057276,0.1269073046006067,0.012690730460060671,0.5100731627040087,0.5598208261074464
restricted,sample_size,800.0,8,800,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.39684852685266603,0.19517950548143215,0.019517950548143214,0.3585933437783053,0.43510370992702674
restricted,sample_size,800.0,8,800,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.06614430212030831,0.10967048079988294,0.010967048079988294,0.044648887883531246,0.08763971635708537
restricted,sample_size,800.0,8,800,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.013891402714932126,0.04958497688149236,0.0049584976881492365,0.004172747246159623,0.02361005818370463
restricted,sample_size,1600.0,8,1600,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9509720348301584,0.06056611724528639,0.006056611724528639,0.9391010758500822,0.9628429938102345
restricted,sample_size,1600.0,8,1600,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.8857472049689441,0.12878511122598993,0.012878511122598992,0.86050532316865,0.9109890867692382
restricted,sample_size,1600.0,8,1600,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9460820668271469,0.0646108014605545,0.006461080146055451,0.9334183497408782,0.9587457839134156
restricted,sample_size,1600.0,8,1600,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.58220405192752,0.1390989345757508,0.013909893457575078,0.5549406607506728,0.6094674431043672
restricted,sample_size,1600.0,8,1600,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.4903378812450019,0.18963348541247305,0.018963348541247305,0.4531697181041572,0.5275060443858466
restricted,sample_size,1600.0,8,1600,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.06965382028644244,0.126044914215045,0.012604491421504499,0.04494901710029363,0.09435862347259126
restricted,sample_size,1600.0,8,1600,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.012666666666666666,0.04910719423671281,0.004910719423671281,0.0030416565962709547,0.02229167673706238
restricted,sample_size,3200.0,8,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9730920885877409,0.04093817794341848,0.004093817794341848,0.9650682057108309,0.9811159714646509
restricted,sample_size,3200.0,8,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9048773133045444,0.14960475186956848,0.014960475186956848,0.8755547819381089,0.9341998446709798
restricted,sample_size,3200.0,8,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9686252690948344,0.04673039817121668,0.0046730398171216676,0.959466111053276,0.9777844271363928
restricted,sample_size,3200.0,8,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.5816032959862817,0.14303384155346077,0.014303384155346077,0.5535686630418034,0.60963792893076
restricted,sample_size,3200.0,8,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.5498319665706931,0.19256816647339572,0.019256816647339574,0.5120886059419075,0.5875753271994787
restricted,sample_size,3200.0,8,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.10411865065730996,0.13338902476394265,0.013338902476394266,0.0779744018035772,0.13026289951104272
restricted,sample_size,3200.0,8,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.022252747252747253,0.0614654877297198,0.00614654877297198,0.010205511657722174,0.03429998284777233
restricted,sample_size,6400.0,8,6400,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9810191040843215,0.030960279708076566,0.003096027970807657,0.9749508892615385,0.9870873189071044
