season,game_id,period,team_id,FOUL,FTA,FTM,PERS_FOUL_DRAWN,LOOSE_BALL_FOUL_DRAWN
2024-25,22400047,3,1610612738,6,8,6,2,0
2024-25,22400047,3,1610612741,3,3,2,1,0
2024-25,22400047,4,1610612738,3,6,4,0,0
2024-25,22400047,4,1610612741,3,5,4,2,0
2024-25,22400048,1,1610612747,2,2,1,1,0
2024-25,22400048,1,1610612760,2,0,0,2,0
2024-25,22400048,2,1610612747,7,10,9,3,0
2024-25,22400048,2,1610612760,4,2,1,3,0
2024-25,22400048,3,1610612747,2,2,2,1,0
2024-25,22400048,3,1610612760,3,1,1,2,0
2024-25,22400048,4,1610612747,5,7,4,1,0
2024-25,22400048,4,1610612760,7,13,10,1,0
2024-25,22400049,1,1610612757,1,1,1,0,0
2024-25,22400049,1,1610612758,2,4,1,0,0
2024-25,22400049,2,1610612757,7,7,5,5,1
2024-25,22400049,2,1610612758,5,12,9,1,0
2024-25,22400049,3,1610612757,4,5,4,1,0
2024-25,22400049,3,1610612758,7,9,8,3,0
2024-25,22400049,4,1610612757,5,2,2,3,1
2024-25,22400049,4,1610612758,2,3,3,1,0
2024-25,22400050,1,1610612755,0,1,1,0,0
2024-25,22400050,1,1610612766,4,4,3,1,0
2024-25,22400050,2,1610612755,3,2,1,1,1
2024-25,22400050,2,1610612766,7,14,10,1,1
2024-25,22400050,3,1610612755,6,7,7,2,2
2024-25,22400050,3,1610612766,2,2,2,1,0
2024-25,22400050,4,1610612755,6,10,9,3,1
2024-25,22400050,4,1610612766,7,8,8,3,1
2024-25,22400051,1,1610612739,6,10,7,2,0
2024-25,22400051,1,1610612764,4,6,6,1,0
2024-25,22400051,2,1610612739,4,2,1,3,0
2024-25,22400051,2,1610612764,7,7,6,4,1
2024-25,22400051,3,1610612739,6,7,4,3,0
2024-25,22400051,3,1610612764,6,10,6,1,0
2024-25,22400051,4,1610612739,3,6,4,0,0
2024-25,22400051,4,1610612764,2,2,1,1,0
2024-25,22400052,1,1610612749,4,6,5,2,0
2024-25,22400052,1,1610612765,2,3,2,0,0
2024-25,22400052,2,1610612749,8,8,4,5,0
2024-25,22400052,2,1610612765,5,11,9,0,0
2024-25,22400052,3,1610612749,5,7,6,1,1
2024-25,22400052,3,1610612765,4,4,2,2,0
2024-25,22400052,4,1610612749,2,0,0,2,0
2024-25,22400052,4,1610612765,4,4,3,2,0
2024-25,22400053,1,1610612752,4,6,6,0,1
2024-25,22400053,1,1610612753,4,2,2,3,0
2024-25,22400053,2,1610612752,7,7,7,2,0
2024-25,22400053,2,1610612753,6,8,6,1,2
2024-25,22400053,3,1610612752,5,5,5,1,1
2024-25,22400053,3,1610612753,6,8,7,3,1
2024-25,22400053,4,1610612752,2,2,2,1,0
2024-25,22400053,4,1610612753,6,7,6,2,1
2024-25,22400054,1,1610612754,5,3,3,3,1
2024-25,22400054,1,1610612761,2,4,3,0,0
2024-25,22400054,2,1610612754,8,12,11,4,0
2024-25,22400054,2,1610612761,3,2,2,1,1
