regime,sweep,sweep_value,d,N,average_in_degree,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high
restricted,dimension,8.0,8,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9048773133045444,0.1496047518695684,0.0149604751869568,0.8755547819381089,0.9341998446709798
restricted,dimension,8.0,8,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9686252690948344,0.0467303981712166,0.0046730398171216,0.959466111053276,0.9777844271363928
restricted,dimension,8.0,8,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.5816032959862817,0.1430338415534607,0.014303384155346,0.5535686630418034,0.60963792893076
restricted,dimension,8.0,8,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.5498319665706931,0.1925681664733957,0.0192568166473395,0.5120886059419075,0.5875753271994787
restricted,dimension,8.0,8,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.1041186506573099,0.1333890247639426,0.0133389024763942,0.0779744018035772,0.1302628995110427
restricted,dimension,8.0,8,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0222527472527472,0.0614654877297198,0.0061465487729719,0.0102055116577221,0.0342999828477723
restricted,dimension,9.0,9,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9736038606637052,0.0358871377247431,0.0035887137724743,0.9665699816696556,0.9806377396577548
restricted,dimension,9.0,9,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9195966166902764,0.0977750499197808,0.009777504991978,0.9004327069059994,0.9387605264745535
restricted,dimension,9.0,9,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9699100372457437,0.0380308306271166,0.0038030830627116,0.9624559944428288,0.9773640800486584
restricted,dimension,9.0,9,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.5823703330415105,0.1244568226093605,0.012445682260936,0.5579767958100759,0.6067638702729452
restricted,dimension,9.0,9,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.5215131292556922,0.1789642386335869,0.0178964238633586,0.4864361384835091,0.5565901200278752
restricted,dimension,9.0,9,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.1275482122990603,0.1214261896991119,0.0121426189699111,0.1037486791180343,0.1513477454800862
restricted,dimension,9.0,9,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0210392156862745,0.0556466032440419,0.0055646603244041,0.0101324814504422,0.0319459499221067
restricted,dimension,10.0,10,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9692209144520046,0.0420160123963167,0.0042016012396316,0.9609857760223266,0.9774560528816828
restricted,dimension,10.0,10,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9313098703144588,0.1056844584977085,0.0105684458497708,0.910595716448908,0.9520240241800098
restricted,dimension,10.0,10,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9622177095852668,0.0457251784243981,0.0045725178424398,0.9532555746140848,0.9711798445564488
restricted,dimension,10.0,10,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.5481502491245756,0.1264329834971891,0.0126432983497189,0.5233693843591265,0.5729311138900246
restricted,dimension,10.0,10,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.505344444577578,0.1801862457878947,0.0180186245787894,0.4700279404031506,0.5406609487520053
restricted,dimension,10.0,10,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.1053791068916725,0.1269346743199569,0.0126934674319956,0.0804999107249609,0.130258303058384
restricted,dimension,10.0,10,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0155968352253181,0.0496508886508816,0.0049650888650881,0.0058652610497454,0.0253284094008909
restricted,sample_size,100.0,8,100,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.6926629073944257,0.1706363307862065,0.0170636330786206,0.6592181865603293,0.7261076282285222
restricted,sample_size,100.0,8,100,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.637012708076088,0.1702522432641285,0.0170252243264128,0.6036432683963188,0.6703821477558572
restricted,sample_size,100.0,8,100,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.7309275857239781,0.1498564165325749,0.0149856416532574,0.7015557280835935,0.7602994433643627
restricted,sample_size,100.0,8,100,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.4606984209774355,0.1187168483233171,0.0118716848323317,0.4374299187060653,0.4839669232488057
restricted,sample_size,100.0,8,100,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.1222710084033613,0.1516864062497266,0.0151686406249726,0.0925404727784149,0.1520015440283077
restricted,sample_size,100.0,8,100,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.0059340659340659,0.0292381877704893,0.0029238187770489,0.00020338113105,0.0116647507370818
restricted,sample_size,100.0,8,100,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0134243697478991,0.0515523914746622,0.0051552391474662,0.0033201010188653,0.0235286384769329
restricted,sample_size,200.0,8,200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.7938605684170903,0.1286141457169061,0.0128614145716906,0.7686521958565767,0.8190689409776039
restricted,sample_size,200.0,8,200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.7169861544506856,0.1553682413919158,0.0155368241391915,0.6865339791378701,0.7474383297635011
restricted,sample_size,200.0,8,200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.8259685376408489,0.102723326403962,0.0102723326403962,0.8058347656656724,0.8461023096160254
restricted,sample_size,200.0,8,200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.4869485435624394,0.106437914107681,0.0106437914107681,0.4660867123973339,0.5078103747275449
restricted,sample_size,200.0,8,200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.1887228610742542,0.1703071274105972,0.0170307127410597,0.1553426641017771,0.2221030580467313
restricted,sample_size,200.0,8,200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.0116776556776556,0.0398747627948484,0.0039874762794848,0.0038622021698653,0.0194931091854459
restricted,sample_size,200.0,8,200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0126666666666666,0.0404979428294414,0.0040497942829441,0.0047290698720961,0.0206042634612371
restricted,sample_size,400.0,8,400,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.8692262938942573,0.1054282522845111,0.0105428252284511,0.8485623564464931,0.8898902313420215
restricted,sample_size,400.0,8,400,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.8001319572233156,0.1541547535096069,0.0154154753509606,0.7699176255354327,0.8303462889111985
restricted,sample_size,400.0,8,400,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.8830057978156511,0.0934662683885345,0.0093466268388534,0.8646864092114983,0.901325186419804
restricted,sample_size,400.0,8,400,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.4870798115660304,0.1211716082054742,0.0121171608205474,0.4633301763577575,0.5108294467743033
restricted,sample_size,400.0,8,400,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.2785473878546634,0.1931379670003501,0.019313796700035,0.2406923463225947,0.316402429386732
restricted,sample_size,400.0,8,400,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.0229288766788766,0.0695977858436434,0.0069597785843643,0.0092877106535225,0.0365700427042307
restricted,sample_size,400.0,8,400,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0057142857142857,0.0281351979381332,0.0028135197938133,0.0001997869184116,0.0112287845101598
restricted,sample_size,800.0,8,800,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9123483479906822,0.0838751458983304,0.008387514589833,0.8959088193946094,0.928787876586755
