alpha_regime,sweep,anchor_d,anchor_N,kbar_in,d,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,mean_realized_avg_indegree,se_realized_avg_indegree,parallel_workers,completed_reps,mean_directed_f1,se_directed_f1,mean_skeleton_f1,se_skeleton_f1,mean_exact_dag,se_exact_dag,mean_family_accuracy,se_family_accuracy,mean_alpha_rmse_if_exact,se_alpha_rmse_if_exact,valid_alpha_rmse_reps,mean_alpha_rmse_on_correct_edges,se_alpha_rmse_on_correct_edges,valid_alpha_correct_edge_reps,mean_alpha_mape_on_correct_edges_pct,se_alpha_mape_on_correct_edges_pct,mean_alpha_rmse_on_true_edges,se_alpha_rmse_on_true_edges,mean_n_correct_directed_edges,mean_runtime_sec,se_runtime_sec,mean_local_score_runtime_sec,se_local_score_runtime_sec,mean_search_runtime_sec,se_search_runtime_sec,mean_n_local_scores_evaluated,N
common,d,6,3200,1.5,6.0,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.6113991484951238,0.0173369852797723,0.8714499651535257,0.0073699009949035,0.02,0.0140705294136289,,,,,0,,,0,,,,,5.69,0.7425083330001507,0.0524726767210149,,,,,,
common,d,7,3200,1.5,7.0,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.428571428571428,6.69489673871845e-17,12,100,0.964012084578648,0.0060869710627646,0.9692393193321984,0.00479835892746,0.59,0.049431107042371,0.8957142857142858,0.0124928344747607,0.0413891746093725,0.0037008236670639,59,0.0471150157834806,0.003234079087084,100,7.349020358202783,0.4998286234458152,0.0756562555713989,0.0070313190333975,9.51,9.004511530998133,0.326803603137804,9.00416303999984,0.3268034319544089,0.0003484909982944,4.281781718779488e-06,441.0,
common,d,7,3200,1.5,7.0,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.428571428571428,6.69489673871845e-17,12,100,0.9036415012576005,0.0140330132665696,0.9475026000830956,0.0070143885862942,0.45,0.05,0.8571428571428572,0.0147821394623063,0.0421479466631135,0.0044180698659472,45,0.0645366106108107,0.0056997409134957,100,9.414676691876512,0.7268550931287383,0.130167956124018,0.0124197717990431,8.84,1.058886737001303,0.0310856566995739,1.0552558270002192,0.0310559244493164,0.0036309100010839,6.166348863672877e-05,93.73,
common,d,7,3200,1.5,7.0,OracleDP,0.15,0.85,5,1.5,exact_edges,1.428571428571428,6.69489673871845e-17,12,100,0.9695745602866346,0.0044753783454732,0.970627191865582,0.0042925952193821,0.6,0.0492365963917331,1.0,0.0,0.0427108947872317,0.0045557038598095,60,0.0472589375418284,0.0035392896721273,100,7.209233124378145,0.4739157388053941,0.0709078431265328,0.0061563628736182,9.59,2.716162467000104,0.2485407708233128,2.715835017000063,0.2485405284420079,0.0003274500000406,4.523796425065961e-06,441.0,
common,d,7,3200,1.5,7.0,PBSCM,0.15,0.85,5,1.5,exact_edges,1.428571428571428,6.69489673871845e-17,12,100,0.1396955084818861,0.0177253843978687,0.4289757778341369,0.031234156217968,0.0,0.0,,,,,0,,,0,,,,,1.08,2.8224355190002823,0.2856041036539734,,,,,,
common,d,7,3200,1.5,7.0,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.428571428571428,6.69489673871845e-17,12,100,0.0098717948717948,0.0045877290226994,0.0884615384615384,0.0116606435499323,0.0,0.0,,,,,0,,,0,,,,,0.06,0.3900588200007041,0.003392157889814,,,,,,
common,d,7,3200,1.5,7.0,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.428571428571428,6.69489673871845e-17,12,100,0.5039593365011321,0.0212600579201284,0.9010399036807706,0.007546949185533,0.0,0.0,,,,,0,,,0,,,,,4.09,4.877337997000141,0.1916566467643249,,,,,,
common,d,7,3200,1.5,7.0,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.428571428571428,6.69489673871845e-17,12,100,0.5975237413668427,0.0166772542551939,0.8457367547858732,0.0084279958156028,0.0,0.0,,,,,0,,,0,,,,,6.38,0.8369619789996068,0.0575241871100807,,,,,,
common,d,8,3200,1.5,8.0,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9730920885877408,0.0040938177943418,0.9764283204717988,0.0037732030543352,0.6,0.0492365963917331,0.90875,0.0106385460292354,0.0404704731574433,0.0035915196732419,60,0.0474644125690233,0.0030605859318685,100,7.405321935343798,0.4420597624629969,0.0719594901633445,0.0062551738450043,11.57,19.318944011998973,0.6989575421443557,19.318206627999608,0.698956727538531,0.000737383999367,7.458088761159445e-06,960.0,
common,d,8,3200,1.5,8.0,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9048773133045444,0.0149604751869568,0.9542941793523028,0.0066955122205531,0.47,0.0501613558046591,0.86375,0.0148747930976188,0.0436340380621878,0.0044466968657084,47,0.0740035606941371,0.0062920827244446,100,10.566184597948276,0.7933899647105338,0.1306314814667778,0.0128445658897422,10.72,1.3719268969993572,0.0365288073837699,1.366121435987152,0.0364877868064102,0.0058054610122053,8.280302966567325e-05,130.51,
