alpha_regime,sweep,kbar_in,anchor_d,anchor_N,d,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,mean_realized_avg_indegree,se_realized_avg_indegree,parallel_workers,completed_reps,mean_directed_f1,se_directed_f1,mean_skeleton_f1,se_skeleton_f1,mean_exact_dag,se_exact_dag,mean_family_accuracy,se_family_accuracy,mean_alpha_rmse_if_exact,se_alpha_rmse_if_exact,valid_alpha_rmse_reps,mean_alpha_rmse_on_correct_edges,se_alpha_rmse_on_correct_edges,valid_alpha_correct_edge_reps,mean_alpha_mape_on_correct_edges_pct,se_alpha_mape_on_correct_edges_pct,mean_alpha_rmse_on_true_edges,se_alpha_rmse_on_true_edges,mean_n_correct_directed_edges,mean_runtime_sec,se_runtime_sec,mean_local_score_runtime_sec,se_local_score_runtime_sec,mean_search_runtime_sec,se_search_runtime_sec,mean_n_local_scores_evaluated
expanded,kbar,2.0,8,3200,8,LibraryDP,0.2,2.0,5,2.0,exact_edges,2.0,0.0,12,100,0.8331692778638405,0.013566399949148638,0.8831143416715459,0.009260427541736315,0.15,0.03588702812826367,0.68875,0.01642773815252973,0.06857778383692795,0.009744139125586618,15,0.4959946393646875,0.06360607833775984,100,28.972838263399755,3.182481646121286,0.6013264812015131,0.05198558618698372,13.11,42.42175713100019,1.1250967130101506,42.42099356900042,1.1250946259201613,0.000763561999774538,9.836553600376848e-06,960.0
expanded,kbar,2.0,8,3200,8,LibraryGreedy,0.2,2.0,5,2.0,exact_edges,2.0,0.0,12,100,0.7439535756668013,0.018603259657071443,0.8679325165993709,0.00916714266501541,0.1,0.03015113445777636,0.59375,0.020130179238189015,0.06452344845882489,0.008770755488918728,10,0.6466565673722626,0.07602603653855575,100,36.548301022063065,4.961767668940473,0.7381375301994193,0.05307902578139991,11.43,3.309615819999599,0.12860154203444757,3.302049255012098,0.1285645093758625,0.007566564987500897,0.00014645277269300527,143.63
expanded,kbar,2.0,8,3200,8,OracleDP,0.2,2.0,5,2.0,exact_edges,2.0,0.0,12,100,0.9699168966706917,0.004919179729769272,0.9749584411477201,0.003643500938708317,0.57,0.0497569851956243,1.0,0.0,0.0643087054302834,0.004179242573322122,57,0.10791071437340577,0.014703662789743027,100,7.6706853358491465,0.8523553116293214,0.1447378601835035,0.018037678303997884,15.44,9.344446932999999,0.8162185233897038,9.343688578999426,0.816214946132454,0.0007583540005725809,2.01038518958901e-05,960.0
expanded,kbar,2.0,8,3200,8,PC-RCIT,0.2,2.0,5,2.0,exact_edges,2.0,0.0,12,100,0.4364717919227112,0.016394235721350913,0.8034541033512548,0.0065210919611085934,0.0,0.0,,,,,0,,,0,,,,,5.46,14.875430100000813,0.435044494627704,,,,,
expanded,kbar,2.0,8,3200,8,PoissonDAG-ODS,0.2,2.0,5,2.0,exact_edges,2.0,0.0,12,100,0.7049216429527196,0.012744420000316373,0.8260582626146349,0.007045277745977628,0.0,0.0,,,,,0,,,0,,,,,11.79,5.276802053999854,0.4999091805088737,,,,,
expanded,kbar,2.5,8,3200,8,LibraryDP,0.2,2.0,5,2.5,exact_edges,2.5,0.0,12,100,0.8110491394188064,0.012747072812784751,0.8734183247676792,0.00790600390479244,0.07,0.02564323999762428,0.61125,0.01730729031303855,0.08318887741335192,0.011929348011305796,7,0.5957503732693552,0.0572472693782742,100,39.129030815655796,4.772767351744041,0.7080226427934939,0.043804463494682075,15.56,52.677458641000264,1.5405683999653286,52.676710269000466,1.5405668258221563,0.0007483719997981097,1.2782818641782236e-05,960.0
expanded,kbar,2.5,8,3200,8,LibraryGreedy,0.2,2.0,5,2.5,exact_edges,2.5,0.0,12,100,0.6463819395846947,0.017555951025524298,0.8095983969401561,0.008857239349140704,0.01,0.009999999999999998,0.4875,0.02068126317381621,0.07068418841036052,,1,1.1320484615253301,0.1078986530799136,100,72.54656680452429,7.019542850961535,1.0848347775290261,0.07033350474795753,11.75,4.711902250999993,0.2173978674741357,4.703811378002428,0.21735972628665143,0.008090872997563565,0.00015714896889556338,147.78
expanded,kbar,2.5,8,3200,8,OracleDP,0.2,2.0,5,2.5,exact_edges,2.5,0.0,12,100,0.9594798367853568,0.006074889106623358,0.9659432022487223,0.004379227601559265,0.37,0.048523658709390974,1.0,0.0,0.08341413784730002,0.005078791539438787,37,0.14126390657160956,0.0173014035064897,100,8.642127737412048,0.7374316153478874,0.20165500511351828,0.020209432680893348,18.83,10.805155699999887,0.9388088011758068,10.804437086999679,0.9388075206400128,0.0007186130002082791,1.1966071164027894e-05,960.0
expanded,kbar,2.5,8,3200,8,PC-RCIT,0.2,2.0,5,2.5,exact_edges,2.5,0.0,12,100,0.327497019906987,0.013376827347564301,0.7225468894032823,0.006432509801913096,0.0,0.0,,,,,0,,,0,,,,,4.92,16.779895840000826,0.4685471186355251,,,,,
expanded,kbar,2.5,8,3200,8,PoissonDAG-ODS,0.2,2.0,5,2.5,exact_edges,2.5,0.0,12,100,0.7408314589585124,0.00912471285224747,0.8260315061916188,0.006388631980673939,0.0,0.0,,,,,0,,,0,,,,,14.49,8.596368100000255,0.7094899503104029,,,,,
