alpha_regime,sweep,kbar_in,anchor_d,anchor_N,d,method,true_family,selected_family,count,row_rate
common,kbar,1.5,8,3200,8,LibraryGreedy,ZIP,Geom,3,0.0241935483870967
common,kbar,1.5,8,3200,8,LibraryGreedy,ZIP,Binomial,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,ZIP,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,Geom,Poisson,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,Geom,NB,28,0.1917808219178082
common,kbar,1.5,8,3200,8,LibraryGreedy,Geom,ZIP,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,Geom,Geom,118,0.8082191780821918
common,kbar,1.5,8,3200,8,LibraryGreedy,Geom,Binomial,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,Geom,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,Binomial,Poisson,9,0.0725806451612903
common,kbar,1.5,8,3200,8,LibraryGreedy,Binomial,NB,2,0.0161290322580645
common,kbar,1.5,8,3200,8,LibraryGreedy,Binomial,ZIP,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,Binomial,Geom,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,Binomial,Binomial,107,0.8629032258064516
common,kbar,1.5,8,3200,8,LibraryGreedy,Binomial,Bernoulli,6,0.0483870967741935
common,kbar,1.5,8,3200,8,LibraryGreedy,Bernoulli,Poisson,16,0.1151079136690647
common,kbar,1.5,8,3200,8,LibraryGreedy,Bernoulli,NB,3,0.0215827338129496
common,kbar,1.5,8,3200,8,LibraryGreedy,Bernoulli,ZIP,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,Bernoulli,Geom,8,0.0575539568345323
common,kbar,1.5,8,3200,8,LibraryGreedy,Bernoulli,Binomial,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,Bernoulli,Bernoulli,112,0.8057553956834532
common,kbar,1.5,8,3200,8,OracleDP,Poisson,Poisson,119,1.0
common,kbar,1.5,8,3200,8,OracleDP,Poisson,NB,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Poisson,ZIP,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Poisson,Geom,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Poisson,Binomial,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Poisson,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,NB,Poisson,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,NB,NB,148,1.0
common,kbar,1.5,8,3200,8,OracleDP,NB,ZIP,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,NB,Geom,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,NB,Binomial,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,NB,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,ZIP,Poisson,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,ZIP,NB,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,ZIP,ZIP,124,1.0
common,kbar,1.5,8,3200,8,OracleDP,ZIP,Geom,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,ZIP,Binomial,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,ZIP,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Geom,Poisson,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Geom,NB,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Geom,ZIP,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Geom,Geom,146,1.0
common,kbar,1.5,8,3200,8,OracleDP,Geom,Binomial,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Geom,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Binomial,Poisson,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Binomial,NB,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Binomial,ZIP,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Binomial,Geom,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Binomial,Binomial,124,1.0
common,kbar,1.5,8,3200,8,OracleDP,Binomial,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Bernoulli,Poisson,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Bernoulli,NB,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Bernoulli,ZIP,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Bernoulli,Geom,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Bernoulli,Binomial,0,0.0
common,kbar,1.5,8,3200,8,OracleDP,Bernoulli,Bernoulli,139,1.0
common,kbar,2.0,8,3200,8,LibraryDP,Poisson,Poisson,116,0.9747899159663864
common,kbar,2.0,8,3200,8,LibraryDP,Poisson,NB,3,0.0252100840336134
common,kbar,2.0,8,3200,8,LibraryDP,Poisson,ZIP,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,Poisson,Geom,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,Poisson,Binomial,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,Poisson,Bernoulli,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,NB,Poisson,6,0.0405405405405405
common,kbar,2.0,8,3200,8,LibraryDP,NB,NB,134,0.9054054054054054
common,kbar,2.0,8,3200,8,LibraryDP,NB,ZIP,3,0.0202702702702702
common,kbar,2.0,8,3200,8,LibraryDP,NB,Geom,4,0.027027027027027
common,kbar,2.0,8,3200,8,LibraryDP,NB,Binomial,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,NB,Bernoulli,1,0.0067567567567567
common,kbar,2.0,8,3200,8,LibraryDP,ZIP,Poisson,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,ZIP,NB,1,0.0080645161290322
common,kbar,2.0,8,3200,8,LibraryDP,ZIP,ZIP,115,0.9274193548387096
common,kbar,2.0,8,3200,8,LibraryDP,ZIP,Geom,8,0.064516129032258
common,kbar,2.0,8,3200,8,LibraryDP,ZIP,Binomial,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,ZIP,Bernoulli,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,Geom,Poisson,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,Geom,NB,32,0.2191780821917808
common,kbar,2.0,8,3200,8,LibraryDP,Geom,ZIP,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,Geom,Geom,114,0.7808219178082192
common,kbar,2.0,8,3200,8,LibraryDP,Geom,Binomial,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,Geom,Bernoulli,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,Binomial,Poisson,11,0.0887096774193548
common,kbar,2.0,8,3200,8,LibraryDP,Binomial,NB,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,Binomial,ZIP,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,Binomial,Geom,1,0.0080645161290322
common,kbar,2.0,8,3200,8,LibraryDP,Binomial,Binomial,110,0.8870967741935484
common,kbar,2.0,8,3200,8,LibraryDP,Binomial,Bernoulli,2,0.0161290322580645
common,kbar,2.0,8,3200,8,LibraryDP,Bernoulli,Poisson,20,0.1438848920863309
common,kbar,2.0,8,3200,8,LibraryDP,Bernoulli,NB,1,0.0071942446043165
common,kbar,2.0,8,3200,8,LibraryDP,Bernoulli,ZIP,0,0.0
common,kbar,2.0,8,3200,8,LibraryDP,Bernoulli,Geom,13,0.0935251798561151
common,kbar,2.0,8,3200,8,LibraryDP,Bernoulli,Binomial,1,0.0071942446043165
common,kbar,2.0,8,3200,8,LibraryDP,Bernoulli,Bernoulli,104,0.7482014388489209
common,kbar,2.0,8,3200,8,LibraryGreedy,Poisson,Poisson,96,0.8067226890756303
common,kbar,2.0,8,3200,8,LibraryGreedy,Poisson,NB,12,0.1008403361344537
common,kbar,2.0,8,3200,8,LibraryGreedy,Poisson,ZIP,0,0.0
common,kbar,2.0,8,3200,8,LibraryGreedy,Poisson,Geom,0,0.0
common,kbar,2.0,8,3200,8,LibraryGreedy,Poisson,Binomial,10,0.0840336134453781
common,kbar,2.0,8,3200,8,LibraryGreedy,Poisson,Bernoulli,1,0.0084033613445378
common,kbar,2.0,8,3200,8,LibraryGreedy,NB,Poisson,10,0.0675675675675675
common,kbar,2.0,8,3200,8,LibraryGreedy,NB,NB,124,0.8378378378378378
common,kbar,2.0,8,3200,8,LibraryGreedy,NB,ZIP,6,0.0405405405405405
common,kbar,2.0,8,3200,8,LibraryGreedy,NB,Geom,6,0.0405405405405405
common,kbar,2.0,8,3200,8,LibraryGreedy,NB,Binomial,1,0.0067567567567567
common,kbar,2.0,8,3200,8,LibraryGreedy,NB,Bernoulli,1,0.0067567567567567
common,kbar,2.0,8,3200,8,LibraryGreedy,ZIP,Poisson,1,0.0080645161290322
common,kbar,2.0,8,3200,8,LibraryGreedy,ZIP,NB,9,0.0725806451612903
common,kbar,2.0,8,3200,8,LibraryGreedy,ZIP,ZIP,108,0.8709677419354839
common,kbar,2.0,8,3200,8,LibraryGreedy,ZIP,Geom,6,0.0483870967741935
common,kbar,2.0,8,3200,8,LibraryGreedy,ZIP,Binomial,0,0.0
common,kbar,2.0,8,3200,8,LibraryGreedy,ZIP,Bernoulli,0,0.0
common,kbar,2.0,8,3200,8,LibraryGreedy,Geom,Poisson,0,0.0
common,kbar,2.0,8,3200,8,LibraryGreedy,Geom,NB,42,0.2876712328767123
common,kbar,2.0,8,3200,8,LibraryGreedy,Geom,ZIP,1,0.0068493150684931
common,kbar,2.0,8,3200,8,LibraryGreedy,Geom,Geom,103,0.7054794520547946
common,kbar,2.0,8,3200,8,LibraryGreedy,Geom,Binomial,0,0.0
common,kbar,2.0,8,3200,8,LibraryGreedy,Geom,Bernoulli,0,0.0
common,kbar,2.0,8,3200,8,LibraryGreedy,Binomial,Poisson,16,0.1290322580645161
common,kbar,2.0,8,3200,8,LibraryGreedy,Binomial,NB,2,0.0161290322580645
common,kbar,2.0,8,3200,8,LibraryGreedy,Binomial,ZIP,0,0.0
common,kbar,2.0,8,3200,8,LibraryGreedy,Binomial,Geom,0,0.0
common,kbar,2.0,8,3200,8,LibraryGreedy,Binomial,Binomial,101,0.8145161290322581
common,kbar,2.0,8,3200,8,LibraryGreedy,Binomial,Bernoulli,5,0.0403225806451612
common,kbar,2.0,8,3200,8,LibraryGreedy,Bernoulli,Poisson,20,0.1438848920863309
common,kbar,2.0,8,3200,8,LibraryGreedy,Bernoulli,NB,16,0.1151079136690647
common,kbar,2.0,8,3200,8,LibraryGreedy,Bernoulli,ZIP,0,0.0
common,kbar,2.0,8,3200,8,LibraryGreedy,Bernoulli,Geom,14,0.1007194244604316
common,kbar,2.0,8,3200,8,LibraryGreedy,Bernoulli,Binomial,1,0.0071942446043165
common,kbar,2.0,8,3200,8,LibraryGreedy,Bernoulli,Bernoulli,88,0.6330935251798561
common,kbar,2.0,8,3200,8,OracleDP,Poisson,Poisson,119,1.0
common,kbar,2.0,8,3200,8,OracleDP,Poisson,NB,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Poisson,ZIP,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Poisson,Geom,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Poisson,Binomial,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Poisson,Bernoulli,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,NB,Poisson,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,NB,NB,148,1.0
common,kbar,2.0,8,3200,8,OracleDP,NB,ZIP,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,NB,Geom,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,NB,Binomial,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,NB,Bernoulli,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,ZIP,Poisson,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,ZIP,NB,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,ZIP,ZIP,124,1.0
common,kbar,2.0,8,3200,8,OracleDP,ZIP,Geom,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,ZIP,Binomial,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,ZIP,Bernoulli,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Geom,Poisson,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Geom,NB,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Geom,ZIP,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Geom,Geom,146,1.0
common,kbar,2.0,8,3200,8,OracleDP,Geom,Binomial,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Geom,Bernoulli,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Binomial,Poisson,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Binomial,NB,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Binomial,ZIP,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Binomial,Geom,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Binomial,Binomial,124,1.0
common,kbar,2.0,8,3200,8,OracleDP,Binomial,Bernoulli,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Bernoulli,Poisson,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Bernoulli,NB,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Bernoulli,ZIP,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Bernoulli,Geom,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Bernoulli,Binomial,0,0.0
common,kbar,2.0,8,3200,8,OracleDP,Bernoulli,Bernoulli,139,1.0
common,kbar,2.5,8,3200,8,LibraryDP,Poisson,Poisson,111,0.9327731092436976
common,kbar,2.5,8,3200,8,LibraryDP,Poisson,NB,5,0.042016806722689
common,kbar,2.5,8,3200,8,LibraryDP,Poisson,ZIP,0,0.0
common,kbar,2.5,8,3200,8,LibraryDP,Poisson,Geom,0,0.0
common,kbar,2.5,8,3200,8,LibraryDP,Poisson,Binomial,3,0.0252100840336134
